Requests,Load,Falha
0.05,0.12,0
0.03,0.47,0
0.05,0.29,0
0.06,0.08,0
0.04,0.15,0
0.08,0.38,0
0.99,0.41,0
0.30,0.43,0
0.25,0.34,0
0.30,0.61,1
0.04,0.13,0
0.07,0.12,0
0.10,0.08,0
0.08,0.38,0
0.72,0.16,0
0.65,0.48,0
0.42,0.75,1
0.07,0.78,1
0.08,0.18,0
0.10,0.01,0
0.08,0.27,0
0.02,0.03,0
0.08,0.34,0
0.04,0.25,0
0.66,0.02,0
0.43,0.28,0
0.55,0.19,0
0.67,0.68,1
0.62,0.33,0
0.01,0.48,0
0.07,0.28,0
0.04,0.05,0
0.02,0.45,0
0.06,0.28,0
0.07,0.22,0
0.07,0.35,0
0.04,0.15,0
0.04,0.29,0
0.10,0.18,0
0.07,0.35,0
0.04,0.02,0
0.07,0.21,0
0.08,0.47,0
0.04,0.12,0
0.08,0.32,0
0.01,0.14,0
0.05,0.10,0
0.03,0.39,0
0.06,0.32,0
0.06,0.35,0
0.02,0.28,0
0.02,0.12,0
0.05,0.00,0
0.06,0.39,0
0.01,0.25,0
0.08,0.31,0
0.07,0.33,0
0.05,0.22,0
0.09,0.25,0
0.06,0.04,0
0.07,0.27,0
0.05,0.39,0
0.01,0.46,0
0.00,0.14,0
0.06,0.01,0
0.55,0.18,0
0.65,0.44,0
0.55,0.29,0
0.00,0.61,1
0.05,0.47,0
0.04,0.37,0
0.05,0.47,0
0.01,0.05,0
0.01,0.09,0
0.04,0.35,0
0.08,0.48,0
0.05,0.48,0
0.03,0.24,0
0.07,0.40,0
0.01,0.41,0
0.08,0.12,0
0.07,0.27,0
0.88,0.24,0
0.78,0.46,0
0.88,0.50,0
0.56,0.80,1
0.08,0.48,0
0.08,0.45,0
0.09,0.11,0
0.08,0.20,0
0.05,0.48,0
0.01,0.42,0
0.06,0.17,0
0.03,0.36,0
0.06,0.16,0
0.06,0.25,0
0.08,0.41,0
0.03,0.20,0
0.10,0.46,0
0.07,0.22,0
0.06,0.15,0
0.06,0.34,0
0.01,0.06,0
0.05,0.00,0
0.07,0.17,0
0.09,0.29,0
0.06,0.17,0
0.07,0.47,0
0.04,0.32,0
0.01,0.04,0
0.02,0.40,0
0.05,0.22,0
0.01,0.02,0
0.08,0.11,0
0.09,0.04,0
0.56,0.07,0
0.06,0.99,0
0.07,0.45,0
0.07,0.32,0
0.04,0.15,0
0.02,0.27,0
0.03,0.19,0
0.03,0.31,0
0.06,0.01,0
0.03,0.13,0
0.00,0.02,0
0.01,0.87,0
0.03,0.18,0
0.09,0.41,0
0.06,0.39,0
0.06,0.26,0
0.02,0.03,0
0.09,0.36,0
0.08,0.18,0
0.03,0.32,0
0.01,0.46,0
0.06,0.09,0
0.01,0.42,0
0.07,0.41,0
0.05,0.03,0
0.08,0.01,0
0.55,0.18,0
0.59,0.08,0
0.67,0.78,0
0.06,0.81,1
0.01,0.93,0
0.03,0.13,0
0.03,0.22,0
0.02,0.24,0
0.03,0.43,0
0.01,0.33,0
0.09,0.16,0
0.03,0.05,0
0.03,0.49,0
0.02,0.20,0
0.05,0.47,0
0.10,0.47,0
0.02,0.24,0
0.09,0.36,0
0.01,0.36,0
0.02,0.22,0
0.07,0.02,0
0.01,0.12,0
0.06,0.37,0
0.09,0.42,0
0.05,0.21,0
0.02,0.28,0
0.04,0.34,0
0.00,0.46,0
0.01,0.01,0
0.07,0.26,0
0.03,0.26,0
0.03,0.17,0
0.01,0.16,0
0.00,0.26,0
0.82,0.35,0
0.33,0.28,0
0.30,0.12,0
0.05,0.71,1
0.03,0.26,0
0.04,0.13,0
0.09,0.15,0
0.07,0.22,0
0.09,0.25,0
0.04,0.28,0
0.08,0.03,0
0.08,0.19,0
0.01,0.19,0
0.10,0.08,0
0.01,0.05,0
0.04,0.10,0
0.02,0.25,0
0.06,0.21,0
0.60,0.11,0
0.70,0.46,0
0.45,0.38,0
0.07,0.65,1
0.09,0.43,0
0.02,0.38,0
0.10,0.21,0
0.07,0.30,0